Priority,Name,Description,Comments
High,Reverse polarity protection,Shall be protected if the eCom is connected back to front. It shall only be possible to power the ESC with plus and minus connected to their designated pads on the board.,
High,Reverse polarity protection response,"Shall provide reverse polarity protection in less than 2 ms, (the time it might take for a car to end up in a lane facing the wrong direction).",
Medium,Startup energization and shutdown de-energization voltages,Shall start at less than 1.2V and stay energized when running down to 1.18V.,
High,Typical voltages,Shall be able to operate efficiently from the energization voltage up to 10 V(olts) to 12.4 V – typical maximum track supply voltage range for recreational play to competitive racing.,
High,Maximum voltage,Shall be able to run with track supply voltages up to 16.4V and survive at 18V for short periods of time.,
Low,Startup ,"Shall control the power to the motor using pulse width modulation (pwm), with aspects of the rate and size of power provided to the motor set by firmware parameters.",See the ESCape32 configuration parameters. https://github.com/neoxic/ESCape32/wiki/Configuration
High,Linear operation,Shall be able to act linearly over its range of voltages so that say if the minimum activation voltage is 1.2V and the maximum track voltage is 12.4V the eCom shall deliver 1.2V to 12.4V to the motor.,See the ESCape32 configuration parameters. https://github.com/neoxic/ESCape32/wiki/Configuration
High,Normal operation,Shall be able to run without pwm once the motor is synchronized and started so the applied voltage controls the motor speed directly.,With pwm turned off (parameters duty_min and duty_max set to 100) then the output voltage will be the same as the input voltage less some small losses.
Medium,Maximum rpm,"Shall be capable to commutating 6 magnet motors up to ~270,000 rpm and 12 magnet motors up to ~180,000 rpm.","For the speed controller to commutate a motor at high rpm it has to be able to commutate at a proportionally higher frequency. 
The commutation frequency Fc = (rpm / 60) * pole-pairs
Typical slot car motors have either 6 or 3 pole pairs (12 magnets or 6 magnets). The fastest motors running at up to 22,000Kv are 6 magnet motors. 
For 6 pole pairs at 150000rpm ; Fc = (150000/60)*6,~ 15kHz
And similarly - 3 pole pairs at 270000rpm; Fc = (270000/60)*3,~ 13kHz
Note: Some competitor eCom’s start to have problems at 10kHz.
A No-load 180,000rpm nominally represents a 10,000Kv motor running on 18V
Or a 3,800Kv at 39.5V Let's say it's 180k RPM max. 
With a 12 magnet motor, it's 180000*12/2=1080 kERPM. 
1080000/60=18000 commutations per second, or one commutation every ~56µs (microsecond)"
High,Thermal performance,For compatibility with similar products specifically designed for slot-car use the sum of the maximum on-state resistances of the reverse polarity mosfet + the high-side mosfet + the low-side mosfet  shall be  ≤ 13mΩ ,"All N-ch mosfet output stage, with maximum on-state resistance of 4.2 mΩ each, therefore allowing 4.6mΩ for the reverse polarity mosfet"
High,Motors,Shall be able to drive very low inductance and resistance motors.,"2µH to 20µH
30mΩ to 300mΩ"
